Geneid	Chr	Start	End	Strand	Length	cont_1	cont_2	cont_3	KD_1	KD_2	KD_3
ENSMUSG00000044024	18;18;18;18;18;18	38115213;38115982;38116347;38116743;38117113;38117668	38115570;38116221;38116648;38116809;38117428;38118833	+;+;+;+;+;+	2449	55	87	59	82	63	61
ENSMUSG00000038524	18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18	38117085;38119432;38120901;38122227;38122574;38122782;38123662;38123968;38124445;38125305;38125553;38126095;38127017;38127868;38128404;38129009;38129360	38119308;38120125;38120988;38122447;38122691;38123075;38123823;38124072;38124564;38125400;38125675;38126223;38127706;38127987;38128449;38129182;38129428	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	5473	660	686	693	579	471	465
ENSMUSG00000024451	18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18	38132278;38133756;38134019;38134272;38135041;38135170;38135477;38135694;38138002;38138199;38139486;38139836;38140963;38141615;38142458;38143888;38144243;38144967;38147209;38147408;38147969;38148713;38149017;38149340;38149530;38150166;38150356;38150622;38150982;38151193;38155863;38156073;38156240	38133305;38133794;38134156;38134335;38135076;38135252;38135610;38135822;38138116;38138273;38139554;38139983;38141068;38141827;38142823;38144051;38144306;38145186;38147311;38147555;38148082;38148848;38149199;38149425;38149729;38150272;38150540;38150742;38151051;38151384;38155974;38156134;38157228	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	5999	24	33	25	40	38	34
ENSMUSG00000093175	18	38300991	38301315	-	325	3	4	5	2	3	5
ENSMUSG00000051375	18;18;18;18;18;18;18	38345569;38350715;38351706;38356348;38362398;38369213;38371443	38349596;38350753;38351925;38359182;38363260;38369416;38371707	-;-;-;-;-;-;-	8454	1923	2233	1928	3212	2546	2551
ENSMUSG00000089983	18;18	38369426;38388374	38369524;38388799	+;+	525	1	1	0	0	1	4
ENSMUSG00000086988	18;18;18;18	38398059;38399227;38400493;38409368	38398843;38399405;38400607;38410219	-;-;-;-	1931	547	597	551	515	457	417
ENSMUSG00000066475	18	38404463	38405066	+	604	3	5	6	4	8	6
ENSMUSG00000024442	18;18;18;18;18;18;18;18;18;18;18;18;18	38409903;38410740;38410937;38412475;38413562;38413934;38414124;38416912;38417682;38417924;38419551;38420718;38421534	38410053;38410854;38411054;38412619;38413723;38414022;38414220;38417054;38417840;38418016;38419710;38420939;38422283	+;+;+;+;+;+;+;+;+;+;+;+;+	2404	4338	4685	4270	3580	3146	3094
ENSMUSG00000024440	18;18;18;18	38426746;38434970;38437482;38440729	38428865;38435124;38437582;38444055	-;-;-;-	5703	5	6	6	24	8	9
ENSMUSG00000060450	18;18;18;18;18;18;18;18;18;18;18	38456289;38456459;38457154;38459408;38460083;38461310;38467519;38469139;38472866;38474327;38476179	38456452;38456859;38457229;38459580;38460244;38461461;38468049;38469367;38473038;38474457;38477501	+;+;+;+;+;+;+;+;+;+;+	3515	8181	8739	8186	7716	6929	6667
ENSMUSG00000089296	18	38457593	38457695	+	103	22	20	23	26	14	29
ENSMUSG00000052102	18;18;18;18;18;18;18	38487212;38490140;38491622;38492751;38494670;38497745;38498516	38488627;38490314;38491806;38492990;38494771;38497876;38498657	-;-;-;-;-;-;-	2392	4563	4884	4511	6657	5856	5890
ENSMUSG00000088384	18	38516232	38516328	+	97	0	0	0	0	0	0
ENSMUSG00000024425	18;18;18;18;18;18;18;18	38578629;38602571;38607345;38611209;38611959;38615709;38620199;38623931	38578830;38602658;38607475;38611296;38612083;38615775;38620304;38624053	+;+;+;+;+;+;+;+	930	10871	12284	11382	12568	11572	11258
ENSMUSG00000092786	18	38627521	38627587	-	67	0	0	0	1	0	0
ENSMUSG00000024427	18;18	38745922;38760824	38750409;38760922	-;-	4587	22293	26917	24008	18515	15472	16708
ENSMUSG00000036452	18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18	38761188;38777264;38786941;38788615;38802039;38836372;38867640;38935152;38948280;39052112;39052339;39059463;39093447;39115363;39129201;39152799;39257284;39258965;39259226;39261823;39270109;39271444;39279773;39281428;39286487;39291710;39309694;39364938;39387022;39389545;39403260;39404937;39406473;39446181;39451089;39456439;39466356;39466672;39517207;39520409;39522237;39522771;39526519;39530728	38761351;38777428;38787029;38788716;38805576;38836459;38867748;38935650;38948699;39052224;39052419;39059553;39093618;39115613;39130926;39153283;39257379;39259056;39259803;39261894;39270210;39271554;39279877;39281557;39286587;39291804;39309772;39364974;39387087;39389619;39403347;39404995;39406578;39446340;39451309;39456577;39466506;39467027;39517482;39520584;39522508;39522862;39526710;39535938	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	17331	1414	1594	1436	1705	1463	1434
ENSMUSG00000073576	18;18;18	38761188;38777264;38802039	38761351;38777428;38805576	+;+;+	3867	0	0	0	0	0	0
ENSMUSG00000083766	18;18	38877182;38877546	38877355;38877782	-;-	411	0	0	0	0	0	0
ENSMUSG00000081773	18	38931150	38932001	-	852	2	2	2	0	0	0
ENSMUSG00000036585	18;18;18;18;18;18;18;18;18	38998327;39006701;39014608;39018200;39025711;39026205;39078201;39088760;39088920	39001775;39006804;39014697;39018515;39025786;39026401;39078425;39088811;39089058	-;-;-;-;-;-;-;-;-	4648	9095	10783	9769	8252	7144	7193
ENSMUSG00000086991	18;18	39153289;39153632	39153398;39153846	-;-	325	0	1	0	0	0	0
ENSMUSG00000086312	18;18;18	39405901;39440287;39461898	39406874;39440436;39462344	-;-;-	1571	0	0	0	0	0	0
ENSMUSG00000082287	18	39501255	39501618	-	364	0	0	0	0	0	1
ENSMUSG00000085289	18;18;18;18	39526692;39530649;39542735;39548953	39529970;39530929;39542935;39549079	-;-;-;-	3888	2	0	2	2	4	2
ENSMUSG00000024431	18;18;18;18;18;18;18;18;18;18;18;18	39570199;39575350;39580230;39581061;39582142;39584037;39588268;39645652;39648594;39649131;39650222;39650726	39574288;39575507;39580360;39581205;39582417;39584153;39588434;39646899;39648937;39649542;39650328;39650955	-;-;-;-;-;-;-;-;-;-;-;-	7425	4015	4441	4141	3587	3222	3209
ENSMUSG00000056742	18	39663210	39666336	-	3127	0	0	0	0	0	0
ENSMUSG00000051732	18	39933151	39935736	+	2586	0	0	0	0	0	0
ENSMUSG00000024487	18;18;18;18;18;18	40364519;40367341;40370402;40371697;40378400;40378882	40366054;40367522;40370547;40371869;40378519;40379053	-;-;-;-;-;-	2329	3922	3972	3769	3612	3291	3184
ENSMUSG00000071860	18	40416616	40417338	+	723	0	0	0	0	0	0
ENSMUSG00000051401	18;18	40418015;40690306	40418846;40690757	+;+	1284	0	0	0	0	0	0
ENSMUSG00000069391	18	40885893	40886363	+	471	0	0	0	0	0	0
ENSMUSG00000088898	18	40960815	40961119	-	305	0	0	0	0	0	0
ENSMUSG00000080326	18	41011453	41011537	+	85	0	0	0	2	0	0
ENSMUSG00000088611	18	41122933	41123206	+	274	0	0	0	0	0	0
ENSMUSG00000093361	18	41356103	41356185	+	83	0	0	0	0	0	0
ENSMUSG00000056671	18;18;18;18;18;18;18	42035350;42040867;42072024;42092255;42094822;42097288;42110755	42035507;42040939;42072129;42092415;42094895;42097345;42110848	-;-;-;-;-;-;-	724	22	18	23	15	14	11
ENSMUSG00000073574	18;18;18	42145855;42151411;42158321	42146342;42151659;42158703	-;-;-	1120	0	0	0	0	0	0
ENSMUSG00000057719	18;18;18;18;18;18;18;18;18;18;18	42213321;42261186;42263716;42270773;42299172;42300582;42301551;42301639;42309265;42312671;42315606	42213849;42261455;42263811;42271093;42299263;42300752;42301607;42301796;42309509;42313029;42318614	+;+;+;+;+;+;+;+;+;+;+	5307	8	4	9	7	9	3
ENSMUSG00000034339	18	42333006	42333317	+	312	0	0	0	0	0	0
ENSMUSG00000059455	18;18;18;18	42338329;42339937;42352237;42356160	42338613;42340073;42352373;42356363	-;-;-;-	763	1	2	1	0	0	1
ENSMUSG00000024493	18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18	42362004;42369674;42370817;42372162;42374414;42376506;42377122;42378158;42379512;42381133;42385408;42386890;42387660;42388312;42389283;42389445;42389596;42393454;42394235;42395139;42396237;42396393;42401557;42402358;42402621;42403431;42404403;42405594;42410483;42410947;42416724;42421615	42362372;42369806;42370912;42372266;42374524;42376616;42377262;42378298;42379602;42381316;42385471;42386947;42387872;42388450;42389365;42389510;42389681;42393531;42394375;42395192;42396313;42396480;42401782;42402425;42402684;42403543;42404564;42405731;42410563;42411034;42416848;42421781	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3861	11798	12019	11599	9927	8742	8553
ENSMUSG00000072528	18	42412040	42412489	+	450	480	562	529	511	507	502
ENSMUSG00000024491	18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18	42435007;42447762;42451637;42458087;42458797;42459904;42461377;42465334;42473625;42477255;42479456;42480418;42481566;42483709;42485559;42486818;42487008;42492434;42492863;42496617;42498046	42435246;42447880;42451761;42458178;42458990;42460164;42461670;42465468;42473789;42477404;42479600;42480571;42481862;42483852;42485678;42486892;42487172;42492538;42493051;42496727;42501196	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	6431	5017	6022	5452	4792	4290	4525
ENSMUSG00000092935	18	42461544	42461606	+	63	0	0	0	0	0	0
ENSMUSG00000024497	18;18	42554251;42554768	42554416;42555747	+;+	1146	3	4	3	92	86	65
ENSMUSG00000056849	18	42600673	42601161	+	489	48	44	30	29	39	48
ENSMUSG00000024498	18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18	42671141;42679022;42682568;42683547;42690302;42694739;42695832;42696516;42697622;42708051;42709492;42709696;42712146;42713062;42720588;42723737;42727525;42728082;42730669;42731478;42732914;42733814;42734172	42671239;42679247;42682720;42684006;42690544;42694801;42696032;42696628;42697710;42708211;42709548;42709762;42712281;42713151;42720706;42723887;42727689;42728264;42730848;42731561;42733014;42733907;42735439	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	4503	10560	11857	11200	8858	7843	8073
ENSMUSG00000042816	18	42737674	42739306	-	1633	0	0	1	0	0	0
ENSMUSG00000024500	18;18;18;18;18;18;18;18;18;18;18;18;18;18;18	42797086;42804923;42808328;42822764;42847956;42861124;42891441;42897555;42900750;42918122;43058399;43087197;43090755;43097718;43218816	42797581;42805661;42808419;42822933;42848120;42861301;42891553;42897720;42900847;42918373;43059297;43087303;43090785;43097886;43219125	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3985	816	801	725	1718	1455	1550
ENSMUSG00000084959	18;18	43095124;43097437	43095312;43098541	+;+	1294	0	0	0	0	0	0
ENSMUSG00000065886	18	43229954	43230060	-	107	0	0	0	0	0	0
ENSMUSG00000048188	18;18	43330759;43331866	43331815;43332247	+;+	1439	184	175	189	149	175	150
ENSMUSG00000039954	18;18;18;18;18;18;18;18;18;18;18;18;18;18	43367351;43371545;43382141;43401633;43402630;43420902;43449690;43457153;43464654;43470074;43471574;43473044;43473666;43474709	43367494;43371693;43382156;43401688;43402781;43421075;43449727;43457242;43464751;43470190;43471699;43473172;43473730;43477135	+;+;+;+;+;+;+;+;+;+;+;+;+;+	3781	23	25	22	49	38	35
ENSMUSG00000024501	18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18	43480633;43485379;43487979;43489345;43492526;43493535;43501896;43504760;43505145;43505501;43513535;43514397;43517888;43520616;43523157;43532720;43552644;43597484	43484074;43485541;43488158;43489515;43492667;43493691;43502016;43504828;43505212;43505618;43513615;43514458;43518052;43520800;43523245;43532926;43553031;43597940	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	6265	9571	10833	10046	10257	8620	8437
ENSMUSG00000043424	18	43635074	43637450	-	2377	928	1067	924	771	751	686
ENSMUSG00000024502	18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18	43691062;43697310;43700135;43700240;43706599;43709270;43711812;43716135;43716984;43717794;43718748;43722185;43722923;43725517;43726745;43727722;43730708;43731506;43735115;43736954;43741487;43750202;43847107	43691618;43697383;43700159;43700305;43706802;43709347;43711880;43716200;43717037;43717892;43718846;43722247;43723006;43725645;43726864;43727778;43730848;43731652;43735213;43737163;43741984;43750480;43847427	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3539	1382	1540	1376	1671	1428	1562
ENSMUSG00000024503	18;18;18;18	43887723;43893178;43894854;43896749	43887859;43893284;43894888;43896891	-;-;-;-	422	0	0	0	0	0	0
ENSMUSG00000088732	18	43920805	43921117	+	313	0	0	0	0	0	0
ENSMUSG00000038791	18;18	43923979;43926358	43924126;43927047	+;+	838	0	0	0	0	0	0
ENSMUSG00000071858	18;18;18;18	43936850;43940863;43944229;43952427	43937278;43940921;43944382;43952532	-;-;-;-	748	0	0	0	0	0	0
ENSMUSG00000055561	18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18	44122889;44124097;44126653;44128946;44137303;44140786;44141834;44143200;44145950;44147435;44149012;44150318;44151816;44152533;44156270;44158437;44159455;44160165;44162849;44163850;44166025;44167283;44168836;44169563;44169854;44172496;44173577;44174342;44174538;44175243;44176022;44178355;44180478	44123014;44124122;44126780;44129021;44137430;44140849;44141961;44143266;44146077;44147522;44149139;44150396;44151943;44152581;44156397;44158518;44159582;44160225;44162976;44163853;44166118;44167410;44168908;44169690;44169932;44172623;44173646;44174431;44174665;44175339;44176152;44178445;44182155	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	4789	0	0	0	0	0	0
ENSMUSG00000051050	18;18;18;18;18;18	44187523;44188348;44189199;44190529;44191517;44191677	44187549;44188476;44189242;44190665;44191562;44191862	+;+;+;+;+;+	569	0	0	0	0	0	0
ENSMUSG00000055095	18;18;18;18;18	44231047;44234057;44239760;44241895;44243026	44231180;44234079;44239834;44242010;44243264	+;+;+;+;+	587	0	0	0	0	0	0
ENSMUSG00000061144	18;18;18;18	44264061;44266168;44267344;44267710	44264425;44266193;44267471;44268197	+;+;+;+	1007	0	0	0	0	0	0
ENSMUSG00000069385	18;18;18;18	44316058;44316881;44317958;44318909	44316103;44316993;44318007;44318957	-;-;-;-	258	0	0	0	0	0	0
ENSMUSG00000053729	18;18;18;18;18	44326012;44327700;44328769;44334186;44334684	44326326;44327815;44328815;44334256;44334727	-;-;-;-;-	593	0	0	0	0	0	1
ENSMUSG00000073573	18;18;18;18;18	44349699;44351262;44352244;44355295;44355764	44350148;44351374;44352287;44355365;44355831	-;-;-;-;-	746	0	0	0	0	0	0
ENSMUSG00000073572	18;18;18;18;18;18	44360918;44363169;44363350;44363472;44364228;44365630	44360990;44363196;44363352;44363484;44364340;44365672	+;+;+;+;+;+	273	0	0	0	0	0	0
ENSMUSG00000038071	18;18	44429781;44434996	44429988;44437354	+;+	2567	0	0	0	0	0	0
ENSMUSG00000024471	18;18;18;18;18;18;18;18;18;18	44493728;44496421;44500957;44501996;44504096;44504666;44505662;44513770;44514456;44514762	44493810;44496964;44501131;44502097;44504142;44504798;44505869;44513935;44514589;44515378	+;+;+;+;+;+;+;+;+;+	2209	0	0	0	0	0	0
ENSMUSG00000024472	18;18;18;18;18;18;18;18;18;18;18	44540154;44555527;44559278;44559971;44564864;44565111;44565307;44569837;44572170;44575031;44577220	44540340;44555678;44559405;44560069;44565016;44565223;44565414;44569972;44572280;44575082;44584623	+;+;+;+;+;+;+;+;+;+;+	8643	8776	9117	8645	3804	3294	3551
ENSMUSG00000071856	18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18	44584715;44590990;44602566;44605384;44608859;44619453;44623492;44628035;44633278;44634788;44635886;44650778;44653036;44669751;44679171;44693841;44821352;44884119;44918830;44971693	44589721;44591112;44602663;44605590;44609093;44619636;44623595;44628175;44633426;44634877;44636032;44650984;44653199;44669893;44679313;44693954;44821920;44884330;44919074;44971836	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	8426	802	1067	902	1181	1023	987
ENSMUSG00000086579	18;18;18;18;18	44821319;44828449;44831877;44832629;44835030	44821936;44828544;44832017;44833241;44835925	+;+;+;+;+	2364	27	30	26	44	49	38
ENSMUSG00000034653	18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18	44988319;44989806;44992676;44994113;44996995;44999839;45000917;45003940;45005334;45007398;45009962;45010290;45014257;45014646;45014825;45014998;45016663;45017842;45019585;45020031;45022259;45023919;45024515;45031104;45032495;45037272;45044777;45045894;45047262;45047443	44988572;44989896;44992872;44994312;44997161;44999941;45001073;45004047;45005482;45007533;45010088;45010355;45014435;45014742;45014912;45015078;45016745;45017947;45019704;45020303;45022385;45024124;45024710;45031213;45032787;45037449;45044980;45046076;45047349;45049374	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	6299	1744	1756	1634	1290	1105	1169
ENSMUSG00000054477	18;18;18;18;18;18;18;18;18;18;18;18	45428659;45560688;45717944;45719010;45720875;45751660;45814852;45829872;45834909;45836591;45842725;45844929	45429070;45560773;45718142;45720278;45720970;45752078;45814993;45829982;45835016;45836718;45842794;45845678	+;+;+;+;+;+;+;+;+;+;+;+	3790	420	486	474	1269	1145	1016
ENSMUSG00000073569	18	45445487	45445762	-	276	0	0	1	0	0	0
ENSMUSG00000088649	18	46100661	46100787	+	127	0	0	0	0	0	0
ENSMUSG00000033949	18;18;18;18;18;18;18;18;18;18;18	46324956;46328799;46332032;46335202;46335525;46338055;46345776;46348045;46355728;46358168;46371956	46327421;46329096;46332322;46335326;46335778;46338150;46345922;46348370;46355962;46358472;46372261	-;-;-;-;-;-;-;-;-;-;-	4849	219	232	207	219	198	212
ENSMUSG00000033993	18	46358675	46359385	+	711	1	2	0	0	0	0
ENSMUSG00000024477	18;18;18;18;18;18;18;18;18	46399603;46406216;46408525;46413933;46417739;46419258;46422544;46434244;46440334	46401355;46406324;46408709;46413978;46417871;46419409;46422611;46434362;46440504	-;-;-;-;-;-;-;-;-	2736	2343	2588	2465	2018	1781	1768
ENSMUSG00000077870	18	46415582	46415673	+	92	0	1	0	0	0	0
ENSMUSG00000071855	18;18;18;18;18;18;18;18;18;18	46441805;46443331;46445267;46447004;46450406;46451178;46453058;46455923;46458928;46471348	46442940;46443449;46445362;46447417;46450796;46451253;46453147;46456044;46459049;46471582	-;-;-;-;-;-;-;-;-;-	2801	636	688	652	576	499	529
ENSMUSG00000090893	18	46515047	46516621	-	1575	7	16	10	12	8	8
ENSMUSG00000080355	18	46527019	46527139	+	121	0	0	0	0	0	0
ENSMUSG00000046487	18	46624588	46625470	-	883	2	1	2	2	2	2
ENSMUSG00000088804	18	46633585	46633678	-	94	0	1	0	0	0	0
ENSMUSG00000033319	18;18;18	46664260;46683756;46685272	46666043;46684483;46685625	-;-;-	2866	2557	2699	2549	2449	2077	2136
ENSMUSG00000056130	18;18;18	46718809;46730867;46733869	46720726;46732557;46734187	-;-;-	3928	63	65	46	75	65	56
ENSMUSG00000033184	18;18;18	46719889;46745593;46756745	46720726;46753148;46757189	-;-;-	8839	10428	11240	10378	10657	9554	9552
ENSMUSG00000057561	18;18;18	46757358;46758295;46767158	46757454;46758354;46769879	+;+;+	2879	5602	5932	5583	5147	4678	4499
ENSMUSG00000033022	18;18;18;18;18	46872859;46875251;46879941;46882972;46887627	46873615;46875420;46880095;46883049;46887996	-;-;-;-;-	1530	131	163	147	183	195	140
ENSMUSG00000032905	18;18;18;18	46892071;46894909;46897049;46901035	46894163;46894971;46897185;46901233	-;-;-;-	2492	2786	3085	2736	2594	2306	2342
ENSMUSG00000024480	18;18;18;18;18;18	46901571;46914025;46917657;46938842;46940315;46949551	46901735;46914116;46917768;46938913;46940422;46950480	+;+;+;+;+;+	1479	2050	2378	2278	2104	2039	1864
ENSMUSG00000024481	18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18	47009693;47024327;47026052;47033436;47036537;47037883;47040272;47040912;47041066;47041858;47044073;47044673;47046770;47049040;47050483;47053327;47054218;47054569;47060137;47064870	47010531;47024469;47026191;47033562;47036691;47037996;47040415;47040977;47041131;47042030;47044149;47044812;47046825;47049193;47050577;47053434;47054394;47054706;47060212;47065100	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3219	1	1	0	2	0	2
ENSMUSG00000065690	18	47060455	47060561	+	107	0	0	0	0	0	0
ENSMUSG00000073568	18;18;18;18	47085636;47085966;47088173;47092060	47085743;47086069;47088312;47093876	+;+;+;+	2169	8	10	9	3	3	4
ENSMUSG00000042705	18;18;18;18;18;18;18;18;18	47118515;47120070;47123314;47127394;47150133;47245906;47246682;47267180;47392169	47118582;47120160;47123424;47127549;47150243;47245965;47247646;47267297;47393938	+;+;+;+;+;+;+;+;+	3450	2044	2219	1947	1784	1613	1427
ENSMUSG00000087857	18	47144991	47145135	-	145	0	0	0	0	0	0
ENSMUSG00000093158	18	47314027	47314076	+	50	0	0	0	0	0	0
ENSMUSG00000019647	18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18	47395252;47404908;47430263;47435297;47438770;47440774;47440946;47441449;47442963;47447077;47449630;47450750;47451542;47453674;47457840;47458731;47459738;47463328;47466010;47492846;47527892	47395582;47409238;47430427;47436260;47438828;47440854;47441086;47441625;47443118;47447208;47449847;47450838;47451661;47453764;47457941;47458793;47459798;47463875;47466147;47493002;47528524	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	8757	10449	12690	11351	13622	11472	11696
ENSMUSG00000059040	18;18	48204989;48206387	48205099;48208032	+;+	1757	3792	4076	3905	3274	3022	2738
ENSMUSG00000088904	18	49741350	49741503	-	154	0	0	0	0	0	0
ENSMUSG00000024505	18;18;18;18;18;18;18;18;18	49855799;49859913;49883276;49883767;49888023;49888824;49892725;49893634;49914975	49858154;49860041;49883468;49883861;49888113;49888980;49892815;49893760;49915255	-;-;-;-;-;-;-;-;-	3520	417	398	396	518	428	384
ENSMUSG00000087020	18;18	49915448;49916725	49915850;49916843	+;+	522	5	9	9	12	5	10
ENSMUSG00000037416	18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18	49992667;50000041;50003440;50006239;50008322;50011084;50011900;50016887;50018770;50022559;50023602;50023964;50024737;50027459;50027629;50030527;50031224;50037337;50040389;50048370;50049117;50050270;50051045;50052873;50054636;50058358;50061915;50062434;50072261;50077233;50079542;50080484;50082252;50091565;50094238;50094846;50099203;50110850;50115471;50116956;50118051;50120712;50121827	49992830;50000166;50003511;50006317;50008448;50011150;50012078;50017076;50018938;50022771;50023855;50024648;50024858;50027548;50027731;50030646;50031445;50039019;50040496;50048539;50049214;50050435;50051306;50053951;50054827;50058434;50062042;50062682;50072451;50077375;50079627;50080685;50082369;50091651;50094359;50094987;50099263;50110977;50115563;50117047;50118103;50120929;50124739	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	11843	5633	5873	5539	5389	4454	4903
ENSMUSG00000062210	18;18;18;18;18;18;18;18;18;18	50139081;50179221;50190672;50206026;50211364;50212341;50249854;50263522;50264448;50266567	50139280;50179531;50191017;50206493;50211486;50213273;50251436;50263610;50264533;50266827	+;+;+;+;+;+;+;+;+;+	4400	1040	1154	1081	929	811	773
ENSMUSG00000073567	18;18;18	50139145;50206026;50206539	50139280;50206494;50210974	+;+;+	5041	8	7	3	6	4	7
ENSMUSG00000086600	18;18;18;18;18;18;18;18	50202384;50202636;50205836;50206592;50207002;50211331;50212332;50213172	50202535;50202739;50206304;50206807;50207120;50212155;50212813;50213498	-;-;-;-;-;-;-;-	2694	35	37	26	30	32	23
ENSMUSG00000024507	18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18	50287855;50288148;50289780;50299102;50299994;50302023;50304395;50306044;50314781;50318039;50319789;50321756;50324269;50326538;50330374;50331682;50333318;50336826;50337561;50338701;50341586;50342813;50350978;50355509	50288063;50288277;50289833;50299209;50300053;50302293;50304479;50306231;50314872;50318063;50319917;50321856;50324505;50326589;50330445;50331785;50333383;50336895;50337667;50338787;50341672;50342951;50351493;50355923	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3404	9842	10381	9717	7859	6877	6786
ENSMUSG00000085939	18	50294380	50295254	+	875	167	240	202	196	181	161
ENSMUSG00000092728	18	50405720	50405917	+	198	0	0	0	0	0	0
ENSMUSG00000035420	18;18;18;18	50438023;50440179;50441142;50442551	50438332;50440325;50441906;50442673	+;+;+;+	1345	0	0	0	0	0	0
ENSMUSG00000048875	18	50727310	50728353	-	1044	0	0	0	0	0	0
ENSMUSG00000073565	18;18;18	51277392;51462264;51578454	51277743;51464295;51579698	+;+;+	3629	1	2	1	6	1	3
ENSMUSG00000064820	18	51413823	51413929	-	107	0	0	0	0	0	0
ENSMUSG00000077317	18	51767198	51767322	-	125	0	0	0	0	0	0
ENSMUSG00000069379	18	52024918	52025535	-	618	89	76	89	54	59	43
ENSMUSG00000065250	18	52314155	52314261	-	107	0	0	0	0	0	0
ENSMUSG00000024510	18	52491190	52492640	+	1451	0	0	0	0	0	0
ENSMUSG00000024528	18;18;18;18;18;18;18;18	52625347;52635250;52635954;52643287;52647166;52647905;52649672;52650098	52625439;52635338;52636026;52643358;52647247;52648625;52649709;52650392	+;+;+;+;+;+;+;+	1463	1534	1704	1659	1267	1129	1133
ENSMUSG00000024529	18;18;18;18;18;18;18;18;18	52675723;52679571;52680448;52680897;52684737;52686555;52687933;52688371;52689485	52678887;52679574;52680563;52680992;52684893;52686692;52688041;52689245;52689521	-;-;-;-;-;-;-;-;-	4697	10	12	7	19	23	31
ENSMUSG00000046886	18;18	52775569;52797726	52775739;52799484	+;+	1930	0	0	1	0	3	0
ENSMUSG00000024532	18;18;18;18	52805863;52816151;52820045;52823221	52805960;52816194;52820225;52823387	+;+;+;+	490	0	0	0	0	0	0
ENSMUSG00000053624	18	52853333	52855322	+	1990	0	0	1	0	1	1
ENSMUSG00000024534	18;18;18;18;18;18;18;18;18;18;18;18;18;18	52927363;52927648;52927969;52997618;53011093;53028193;53030956;53044622;53054488;53057774;53065459;53066072;53068264;53074961	52927604;52927791;52928112;52997720;53011165;53029061;53031135;53044735;53054613;53057943;53065551;53067131;53068334;53075585	+;+;+;+;+;+;+;+;+;+;+;+;+;+	4014	1416	1531	1452	2212	1858	1828
ENSMUSG00000034484	18;18;18;18;18;18;18;18;18;18;18;18;18;18;18	53336019;53349309;53354084;53357509;53357840;53359411;53362695;53369242;53369984;53370353;53372407;53376035;53377756;53377943;53380026	53336141;53349426;53354247;53357575;53357883;53359552;53362773;53369317;53370097;53370446;53372612;53376178;53377836;53378014;53380514	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2013	4776	5182	4900	3988	3493	3424
